person,skill,level
Fatima Lee 491,GCP Advanced,Advanced
Fatima Lee 491,React (Intro),Intermediate
Fatima Lee 491,Redshift (Practical),Expert
Fatima Lee 491,Data Visualization,Intermediate
Fatima Lee 491,Hadoop - Best Practices,Expert
Jordan Lopez 492,Hadoop Fundamentals,Advanced
Jordan Lopez 492,Reinforcement Learning (Practical),Beginner
Jordan Lopez 492,Reinforcement Learning,Advanced
Zoe Hall 493,Data Visualization - Best Practices,Beginner
Zoe Hall 493,Data Visualization (Intro),Intermediate
Zoe Hall 493,Python - Best Practices,Intermediate
Isabella Kumar 494,PyTorch - Best Practices,Intermediate
Isabella Kumar 494,REST APIs Advanced,Beginner
Isabella Kumar 494,Deep Learning Advanced,Expert
Isabella Kumar 494,Airflow Fundamentals,Beginner
Isabella Kumar 494,Python for Finance,Expert
Isabella Kumar 494,Go Advanced,Expert
Isabella Kumar 494,AWS for Healthcare,Expert
Zoe Johnson 495,AWS,Expert
Zoe Johnson 495,Time Series Fundamentals,Beginner
Zoe Johnson 495,Deep Learning (Practical),Expert
Zoe Wang 496,PowerBI - Best Practices,Intermediate
Zoe Wang 496,Scala for Healthcare,Beginner
Zoe Wang 496,ETL (Practical),Intermediate
Zoe Wang 496,Python Advanced,Intermediate
Zoe Wang 496,CI/CD,Intermediate
Zoe Wang 496,SQL Fundamentals,Advanced
Riley Moore 497,TensorFlow (Intro),Advanced
Riley Moore 497,Airflow - Best Practices,Beginner
Riley Moore 497,Time Series Advanced,Expert
Riley Moore 497,Microservices for Healthcare,Advanced
Riley Moore 497,JavaScript for Finance,Expert
Riley Brown 498,Go Fundamentals,Advanced
Riley Brown 498,CI/CD - Best Practices,Intermediate
Riley Brown 498,Scikit-Learn (Intro),Intermediate
Riley Brown 498,ETL - Best Practices,Intermediate
Riley Brown 498,Java (Intro),Intermediate
Riley Brown 498,REST APIs Advanced,Intermediate
Taylor Wright 499,Spark Streaming (Practical),Expert
Taylor Wright 499,NLP for Healthcare,Beginner
Taylor Wright 499,BigQuery (Intro),Expert
Taylor Wright 499,Computer Vision (Practical),Expert
Taylor Wright 499,Snowflake for Healthcare,Advanced
Taylor Wright 499,Computer Vision for Healthcare,Advanced
Taylor Wright 499,SQL (Practical),Expert
Priya Brown 500,TensorFlow (Practical),Advanced
Priya Brown 500,Tableau - Best Practices,Beginner
Priya Brown 500,PowerBI for Finance,Expert
Priya Brown 500,Computer Vision for Finance,Beginner
Priya Brown 500,Scala Fundamentals,Advanced
Priya Brown 500,Apache Spark Advanced,Advanced
Logan King 501,Kafka (Practical),Advanced
Logan King 501,React,Expert
Logan King 501,Hadoop Fundamentals,Advanced
Logan King 501,Snowflake - Best Practices,Intermediate
Logan King 501,Go for Healthcare,Expert
Logan King 501,Airflow - Best Practices,Expert
Taylor Brown 502,DBT,Expert
Taylor Brown 502,Kubernetes Fundamentals,Expert
Taylor Brown 502,Hadoop,Beginner
Taylor Brown 502,Go,Expert
Taylor Brown 502,Microservices - Best Practices,Intermediate
Taylor Brown 502,PowerBI (Practical),Beginner
Taylor Brown 502,GCP (Practical),Beginner
Sofia Lee 503,ETL,Expert
Sofia Lee 503,Spark Streaming - Best Practices,Expert
Sofia Lee 503,Hadoop for Finance,Expert
Charlie Wang 504,Computer Vision (Intro),Beginner
Charlie Wang 504,JavaScript (Practical),Intermediate
Charlie Wang 504,REST APIs Advanced,Expert
Charlie Wang 504,GANs for Finance,Advanced
Charlie Wang 504,DBT Fundamentals,Intermediate
Charlie Wang 504,Docker (Practical),Intermediate
Avery Johnson 505,Tableau - Best Practices,Beginner
Avery Johnson 505,C++ - Best Practices,Advanced
Avery Johnson 505,Airflow (Practical),Beginner
Avery Johnson 505,DBT (Practical),Intermediate
Avery Johnson 505,C++ for Finance,Advanced
Avery Johnson 505,MLOps for Healthcare,Advanced
Avery Johnson 505,Node.js,Expert
Cameron Patel 506,Time Series for Healthcare,Beginner
Cameron Patel 506,Tableau,Intermediate
Cameron Patel 506,Apache Spark (Practical),Advanced
Cameron Patel 506,Linux for Finance,Advanced
Jamie Martinez 507,Computer Vision (Practical),Beginner
Jamie Martinez 507,Snowflake Fundamentals,Intermediate
Jamie Martinez 507,Docker (Intro),Expert
Li Taylor 508,PowerBI - Best Practices,Advanced
Li Taylor 508,Redshift Advanced,Beginner
Li Taylor 508,DBT Fundamentals,Expert
Li Taylor 508,Microservices,Expert
Li Taylor 508,REST APIs for Finance,Advanced
Mason Garcia 509,Redshift (Intro),Advanced
Mason Garcia 509,Kafka Advanced,Beginner
Mason Garcia 509,Data Visualization (Intro),Intermediate
Mason Garcia 509,Scikit-Learn,Expert
Mason Garcia 509,Microservices (Practical),Intermediate
Mason Garcia 509,Statistics for Finance,Expert
Roshni Taylor 510,NumPy Advanced,Intermediate
Roshni Taylor 510,Pandas for Finance,Beginner
Roshni Taylor 510,Azure (Intro),Advanced
Roshni Taylor 510,GCP (Intro),Intermediate
Roshni Taylor 510,GANs - Best Practices,Beginner
Casey Martin 511,Data Visualization for Finance,Advanced
Casey Martin 511,NLP Fundamentals,Advanced
Casey Martin 511,Microservices Fundamentals,Expert
Casey Martin 511,Reinforcement Learning Advanced,Beginner
Casey Martin 511,REST APIs - Best Practices,Beginner
Casey Martin 511,Go,Expert
Nina Kumar 512,NLP (Intro),Intermediate
Nina Kumar 512,GANs - Best Practices,Intermediate
Nina Kumar 512,Deep Learning for Finance,Expert
Nina Kumar 512,MLOps,Beginner
Nina Kumar 512,PyTorch Advanced,Beginner
Nina Kumar 512,Python Advanced,Advanced
Nina Kumar 512,Docker Fundamentals,Advanced
Jordan Martinez 513,GCP (Intro),Expert
Jordan Martinez 513,Scikit-Learn - Best Practices,Advanced
Jordan Martinez 513,Machine Learning Fundamentals,Expert
Jordan Martinez 513,Docker,Beginner
Jordan Martinez 513,Kubernetes - Best Practices,Expert
Jordan Martinez 513,Scala Advanced,Expert
Jordan Martinez 513,Apache Spark Fundamentals,Advanced
Cameron Garcia 514,Computer Vision - Best Practices,Expert
Cameron Garcia 514,Machine Learning,Beginner
Cameron Garcia 514,React Advanced,Advanced
Cameron Garcia 514,Data Visualization for Finance,Intermediate
Cameron Garcia 514,Node.js,Expert
Cameron Garcia 514,Python Fundamentals,Advanced
Cameron Garcia 514,Python for Finance,Beginner
Logan Taylor 515,REST APIs for Finance,Intermediate
Logan Taylor 515,Redshift (Practical),Expert
Logan Taylor 515,Airflow (Intro),Beginner
Logan Taylor 515,Statistics for Healthcare,Intermediate
Logan Taylor 515,GANs - Best Practices,Expert
Logan Taylor 515,Computer Vision - Best Practices,Expert
Logan Taylor 515,DBT,Intermediate
Charlie Brown 516,Linux (Practical),Beginner
Charlie Brown 516,SQL Fundamentals,Advanced
Charlie Brown 516,Probability (Practical),Intermediate
Charlie Brown 516,Snowflake Fundamentals,Intermediate
Sam Jackson 517,GANs - Best Practices,Advanced
Sam Jackson 517,C++ (Practical),Beginner
Sam Jackson 517,SQL Advanced,Beginner
Sam Jackson 517,GCP,Advanced
Sam Jackson 517,Scikit-Learn (Practical),Intermediate
Sam Jackson 517,Reinforcement Learning - Best Practices,Intermediate
Li Clark 518,Docker (Practical),Expert
Li Clark 518,NumPy Fundamentals,Advanced
Li Clark 518,Microservices for Healthcare,Expert
Li Clark 518,Scala - Best Practices,Intermediate
Priya Kumar 519,Scala Advanced,Beginner
Priya Kumar 519,Tableau for Healthcare,Intermediate
Priya Kumar 519,Cloud Computing (Practical),Advanced
Priya Kumar 519,Computer Vision,Intermediate
Harper Young 520,Kafka,Advanced
Harper Young 520,Data Visualization Fundamentals,Expert
Harper Young 520,BigQuery,Expert
Taylor Jackson 521,Statistics Fundamentals,Beginner
Taylor Jackson 521,Scikit-Learn,Advanced
Taylor Jackson 521,PowerBI (Intro),Beginner
Taylor Jackson 521,GCP (Practical),Advanced
Taylor Jackson 521,Go Advanced,Expert
Drew Martinez 522,MLOps Fundamentals,Intermediate
Drew Martinez 522,Deep Learning Fundamentals,Advanced
Drew Martinez 522,GANs for Healthcare,Intermediate
Sofia Wang 523,NLP for Finance,Intermediate
Sofia Wang 523,GANs - Best Practices,Advanced
Sofia Wang 523,Probability Fundamentals,Expert
Sofia Wang 523,CI/CD Advanced,Expert
Quinn Lopez 524,SQL for Healthcare,Intermediate
Quinn Lopez 524,CI/CD for Healthcare,Advanced
Quinn Lopez 524,React,Intermediate
Rowan Wang 525,Scala for Healthcare,Expert
Rowan Wang 525,NumPy Fundamentals,Advanced
Rowan Wang 525,AWS Advanced,Beginner
Avery King 526,Kafka (Practical),Expert
Avery King 526,Probability Advanced,Advanced
Avery King 526,Computer Vision for Finance,Advanced
Avery King 526,GANs Advanced,Beginner
Avery King 526,Linux for Healthcare,Intermediate
Avery King 526,NLP,Intermediate
Avery Wright 527,Cloud Computing for Finance,Advanced
Avery Wright 527,Tableau (Practical),Beginner
Avery Wright 527,DBT for Finance,Intermediate
Avery Wright 527,Machine Learning Advanced,Intermediate
Avery Wright 527,Computer Vision (Intro),Intermediate
Avery Wright 527,Cloud Computing for Healthcare,Beginner
Parker Patel 528,GCP - Best Practices,Beginner
Parker Patel 528,Microservices Advanced,Advanced
Parker Patel 528,Tableau (Intro),Advanced
Parker Patel 528,Probability (Practical),Beginner
Parker Patel 528,Scala Advanced,Intermediate
Parker Patel 528,PyTorch Fundamentals,Expert
Parker Patel 528,Machine Learning - Best Practices,Beginner
Isabella Jackson 529,Redshift for Healthcare,Intermediate
Isabella Jackson 529,Snowflake - Best Practices,Expert
Isabella Jackson 529,PyTorch,Intermediate
Isabella Jackson 529,Cloud Computing for Finance,Advanced
Isabella Jackson 529,NumPy Fundamentals,Advanced
Isabella Jackson 529,C++ Advanced,Beginner
Harper Kumar 530,PyTorch - Best Practices,Expert
Harper Kumar 530,SQL - Best Practices,Intermediate
Harper Kumar 530,NLP for Finance,Advanced
Harper Kumar 530,Kafka Advanced,Advanced
Isabella Wang 531,Apache Spark for Healthcare,Beginner
Isabella Wang 531,Scala (Practical),Intermediate
Isabella Wang 531,Redshift (Practical),Expert
Isabella Wang 531,PowerBI,Expert
Isabella Wang 531,AWS for Finance,Intermediate
Isabella Wang 531,Statistics - Best Practices,Advanced
Isabella Wang 531,Kubernetes Advanced,Expert
Charlie Jackson 532,C++ (Intro),Intermediate
Charlie Jackson 532,GANs Fundamentals,Beginner
Charlie Jackson 532,PowerBI,Expert
Charlie Jackson 532,NLP,Advanced
Charlie Jackson 532,Cloud Computing - Best Practices,Advanced
Charlie Jackson 532,SQL,Intermediate
Mateo Jackson 533,Kubernetes - Best Practices,Advanced
Mateo Jackson 533,Scikit-Learn Advanced,Intermediate
Mateo Jackson 533,Microservices for Healthcare,Beginner
Morgan Lee 534,Hadoop,Advanced
Morgan Lee 534,GCP for Finance,Expert
Morgan Lee 534,Docker for Finance,Beginner
Morgan Lee 534,NLP,Intermediate
Morgan Lee 534,Kubernetes Fundamentals,Advanced
Morgan Lee 534,Tableau (Practical),Beginner
Jamie Anderson 535,Java Advanced,Beginner
Jamie Anderson 535,AWS (Practical),Beginner
Jamie Anderson 535,Linux for Finance,Advanced
Amir Hall 536,Statistics for Healthcare,Advanced
Amir Hall 536,Python Advanced,Intermediate
Amir Hall 536,ETL Advanced,Advanced
Amir Hall 536,Statistics (Practical),Expert
Isabella Johnson 537,Pandas for Healthcare,Advanced
Isabella Johnson 537,C++ for Finance,Advanced
Isabella Johnson 537,JavaScript,Advanced
Isabella Johnson 537,Time Series (Practical),Advanced
Isabella Johnson 537,Docker for Healthcare,Beginner
Isabella Johnson 537,ETL - Best Practices,Expert
Isabella Johnson 537,C++ (Intro),Beginner
Cameron Wright 538,AWS for Finance,Advanced
Cameron Wright 538,Statistics,Advanced
Cameron Wright 538,MLOps,Advanced
Cameron Wright 538,Apache Spark for Finance,Beginner
Cameron Wright 538,Linux (Practical),Expert
Mia Patel 539,Microservices Advanced,Beginner
Mia Patel 539,TensorFlow (Intro),Advanced
Mia Patel 539,Statistics,Advanced
Charlie Nguyen 540,Snowflake,Intermediate
Charlie Nguyen 540,Scikit-Learn for Finance,Beginner
Charlie Nguyen 540,Python Fundamentals,Beginner
Emma Wright 541,Python,Expert
Emma Wright 541,Scikit-Learn Advanced,Intermediate
Emma Wright 541,Java (Intro),Beginner
Emma Wright 541,Deep Learning (Intro),Beginner
Anu Young 542,JavaScript - Best Practices,Intermediate
Anu Young 542,TensorFlow Advanced,Intermediate
Anu Young 542,BigQuery for Finance,Expert
Anu Young 542,Statistics,Expert
Anu Young 542,Scikit-Learn,Expert
Casey Thomas 543,Snowflake,Expert
Casey Thomas 543,Node.js,Intermediate
Casey Thomas 543,Kubernetes,Advanced
Sofia Anderson 544,Spark Streaming for Healthcare,Intermediate
Sofia Anderson 544,Pandas - Best Practices,Expert
Sofia Anderson 544,Data Visualization for Finance,Beginner
Sofia Anderson 544,Kafka Fundamentals,Intermediate
Liam Allen 545,Deep Learning (Practical),Advanced
Liam Allen 545,Scikit-Learn,Advanced
Liam Allen 545,Airflow (Practical),Beginner
Liam Allen 545,React (Practical),Advanced
Noah Brown 546,Linux,Advanced
Noah Brown 546,Spark Streaming,Intermediate
Noah Brown 546,Computer Vision,Intermediate
Priya Anderson 547,Scikit-Learn Fundamentals,Beginner
Priya Anderson 547,Statistics (Practical),Advanced
Priya Anderson 547,TensorFlow Fundamentals,Advanced
Jordan Patel 548,NumPy (Intro),Beginner
Jordan Patel 548,Machine Learning for Finance,Intermediate
Jordan Patel 548,Linux (Practical),Advanced
Jordan Patel 548,Hadoop Fundamentals,Expert
Jordan Patel 548,Tableau for Finance,Beginner
Nina Martin 549,Scikit-Learn for Finance,Expert
Nina Martin 549,React Fundamentals,Beginner
Nina Martin 549,BigQuery for Healthcare,Beginner
Dylan Moore 550,Cloud Computing for Healthcare,Expert
Dylan Moore 550,Kafka (Intro),Intermediate
Dylan Moore 550,PyTorch (Intro),Beginner
Dylan Moore 550,Computer Vision,Advanced
Dylan Moore 550,Scikit-Learn for Finance,Beginner
Dylan Moore 550,Probability Fundamentals,Advanced
Wei Patel 551,Cloud Computing - Best Practices,Advanced
Wei Patel 551,ETL for Healthcare,Beginner
Wei Patel 551,Deep Learning Fundamentals,Intermediate
Wei Patel 551,NumPy for Healthcare,Intermediate
Wei Patel 551,Spark Streaming,Advanced
Wei Patel 551,AWS - Best Practices,Beginner
Taylor Brown 552,Statistics for Finance,Expert
Taylor Brown 552,TensorFlow Advanced,Advanced
Taylor Brown 552,Cloud Computing for Healthcare,Expert
Taylor Brown 552,DBT Fundamentals,Intermediate
Taylor Brown 552,Tableau (Intro),Advanced
Fatima Wang 553,Pandas for Healthcare,Advanced
Fatima Wang 553,Snowflake for Finance,Beginner
Fatima Wang 553,CI/CD for Healthcare,Beginner
Fatima Wang 553,Azure for Healthcare,Intermediate
Hana Hall 554,Apache Spark,Expert
Hana Hall 554,DBT,Expert
Hana Hall 554,Linux Advanced,Expert
Hana Hall 554,Time Series Advanced,Expert
Hana Hall 554,DBT Fundamentals,Advanced
Hana Hall 554,Snowflake (Intro),Expert
Hana Hall 554,DBT (Intro),Advanced
Hana Moore 555,GCP,Intermediate
Hana Moore 555,Go,Intermediate
Hana Moore 555,Java for Finance,Intermediate
Hana Moore 555,Statistics (Practical),Beginner
Hana Moore 555,Hadoop (Practical),Advanced
Hana Moore 555,Docker for Finance,Beginner
Sam Green 556,React for Finance,Beginner
Sam Green 556,ETL - Best Practices,Expert
Sam Green 556,Deep Learning Fundamentals,Beginner
Sam Green 556,Reinforcement Learning for Finance,Beginner
Sam Green 556,Pandas Advanced,Advanced
Sam Green 556,Statistics,Expert
Isabella Lopez 557,Linux (Practical),Intermediate
Isabella Lopez 557,Cloud Computing,Expert
Isabella Lopez 557,AWS - Best Practices,Intermediate
Liam Moore 558,Java Advanced,Beginner
Liam Moore 558,Time Series,Advanced
Liam Moore 558,PyTorch (Practical),Expert
Liam Moore 558,SQL for Healthcare,Advanced
Liam Moore 558,ETL for Finance,Intermediate
Liam Moore 558,JavaScript (Practical),Advanced
Liam Moore 558,React (Intro),Beginner
Evan Garcia 559,AWS,Intermediate
Evan Garcia 559,CI/CD (Practical),Expert
Evan Garcia 559,Time Series Fundamentals,Expert
Evan Garcia 559,Microservices Fundamentals,Advanced
Evan Garcia 559,Node.js,Expert
Evan Garcia 559,Scala for Healthcare,Expert
Evan Garcia 559,Spark Streaming (Practical),Intermediate
Dylan King 560,Airflow (Practical),Intermediate
Dylan King 560,Pandas for Finance,Intermediate
Dylan King 560,Airflow,Beginner
Dylan King 560,BigQuery Advanced,Intermediate
Wei Garcia 561,JavaScript (Intro),Beginner
Wei Garcia 561,Probability for Healthcare,Expert
Wei Garcia 561,Machine Learning Advanced,Advanced
Wei Garcia 561,Computer Vision Fundamentals,Expert
Cameron Garcia 562,Time Series (Practical),Intermediate
Cameron Garcia 562,Statistics Advanced,Expert
Cameron Garcia 562,Java - Best Practices,Advanced
Charlie Lopez 563,Computer Vision - Best Practices,Advanced
Charlie Lopez 563,CI/CD for Finance,Intermediate
Charlie Lopez 563,ETL Fundamentals,Expert
Charlie Lopez 563,GCP (Practical),Beginner
Charlie Lopez 563,Scala,Expert
Sofia Garcia 564,SQL,Beginner
Sofia Garcia 564,Apache Spark (Intro),Intermediate
Sofia Garcia 564,Python - Best Practices,Advanced
Sofia Garcia 564,Java Fundamentals,Beginner
Sofia Garcia 564,PowerBI Fundamentals,Intermediate
Sofia Garcia 564,NLP for Healthcare,Advanced
Sofia Garcia 564,Kafka for Finance,Expert
Roshni Wang 565,Time Series Advanced,Expert
Roshni Wang 565,React Advanced,Expert
Roshni Wang 565,Tableau Advanced,Beginner
Roshni Wang 565,GANs Advanced,Advanced
Noah Nguyen 566,AWS - Best Practices,Advanced
Noah Nguyen 566,PyTorch,Intermediate
Noah Nguyen 566,Linux for Finance,Expert
Noah Nguyen 566,Time Series,Advanced
Noah Nguyen 566,Apache Spark (Practical),Expert
Drew Moore 567,Linux,Advanced
Drew Moore 567,BigQuery for Healthcare,Expert
Drew Moore 567,Statistics Advanced,Advanced
Drew Moore 567,Linux for Healthcare,Intermediate
Nina Lopez 568,PowerBI,Intermediate
Nina Lopez 568,Computer Vision - Best Practices,Advanced
Nina Lopez 568,BigQuery,Expert
Drew Wright 569,TensorFlow (Intro),Intermediate
Drew Wright 569,React Fundamentals,Beginner
Drew Wright 569,Cloud Computing - Best Practices,Intermediate
Drew Wright 569,Spark Streaming (Intro),Expert
Drew Wright 569,Scala for Healthcare,Intermediate
Drew Wright 569,Tableau (Practical),Expert
Amir Smith 570,Hadoop for Healthcare,Intermediate
Amir Smith 570,Data Visualization,Expert
Amir Smith 570,Kubernetes Advanced,Expert
Amir Smith 570,ETL Fundamentals,Expert
Amir Smith 570,REST APIs for Healthcare,Intermediate
Evan Johnson 571,Java for Finance,Expert
Evan Johnson 571,Cloud Computing - Best Practices,Advanced
Evan Johnson 571,Reinforcement Learning Advanced,Beginner
Evan Johnson 571,Redshift for Finance,Intermediate
Evan Johnson 571,PowerBI (Intro),Expert
Roshni Patel 572,Scikit-Learn Advanced,Intermediate
Roshni Patel 572,Docker (Intro),Expert
Roshni Patel 572,Go for Healthcare,Beginner
Roshni Patel 572,TensorFlow Advanced,Intermediate
Roshni Patel 572,Python,Advanced
Roshni Patel 572,JavaScript Advanced,Expert
Isabella Martin 573,AWS (Practical),Beginner
Isabella Martin 573,Apache Spark Advanced,Advanced
Isabella Martin 573,Node.js for Finance,Beginner
Isabella Martin 573,Cloud Computing Advanced,Expert
Isabella Martin 573,Apache Spark Fundamentals,Beginner
Isabella Martin 573,JavaScript Advanced,Intermediate
Morgan Lee 574,BigQuery Fundamentals,Beginner
Morgan Lee 574,NumPy - Best Practices,Expert
Morgan Lee 574,CI/CD (Intro),Expert
Morgan Lee 574,Spark Streaming Advanced,Intermediate
Morgan Lee 574,Cloud Computing - Best Practices,Intermediate
Morgan Lee 574,Hadoop (Intro),Advanced
Mateo Martinez 575,Computer Vision Fundamentals,Intermediate
Mateo Martinez 575,C++ Fundamentals,Advanced
Mateo Martinez 575,Time Series,Expert
Mateo Martinez 575,Azure Advanced,Beginner
Mateo Martinez 575,BigQuery for Healthcare,Expert
Mateo Martinez 575,Probability (Practical),Advanced
Mateo Martinez 575,Cloud Computing Fundamentals,Expert
Nina Smith 576,Cloud Computing for Finance,Advanced
Nina Smith 576,ETL Advanced,Beginner
Nina Smith 576,PyTorch for Finance,Intermediate
Nina Smith 576,Linux - Best Practices,Beginner
Nina Smith 576,PowerBI Advanced,Advanced
Nina Smith 576,Machine Learning Advanced,Advanced
Nina Smith 576,REST APIs (Intro),Beginner
Sofia Thomas 577,Scikit-Learn Fundamentals,Expert
Sofia Thomas 577,C++ Fundamentals,Advanced
Sofia Thomas 577,Computer Vision - Best Practices,Expert
Sofia Thomas 577,GANs - Best Practices,Expert
Sofia Thomas 577,NLP (Practical),Beginner
Roshni Nguyen 578,Microservices (Practical),Intermediate
Roshni Nguyen 578,Probability Fundamentals,Beginner
Roshni Nguyen 578,Data Visualization,Intermediate
Li Young 579,Data Visualization Advanced,Beginner
Li Young 579,Kubernetes Advanced,Expert
Li Young 579,NumPy,Advanced
Li Young 579,Pandas for Finance,Intermediate
Yuki Young 580,BigQuery for Healthcare,Intermediate
Yuki Young 580,NLP Advanced,Intermediate
Yuki Young 580,Kubernetes Fundamentals,Advanced
Yuki Young 580,Spark Streaming for Healthcare,Advanced
Yuki Young 580,Go (Practical),Intermediate
Yuki Young 580,Linux Fundamentals,Advanced
Yuki Young 580,TensorFlow (Intro),Beginner
Morgan Wang 581,Java - Best Practices,Expert
Morgan Wang 581,Hadoop Fundamentals,Intermediate
Morgan Wang 581,Scikit-Learn (Practical),Advanced
Morgan Wang 581,Reinforcement Learning,Advanced
Anu Patel 582,Docker for Healthcare,Beginner
Anu Patel 582,React,Advanced
Anu Patel 582,Kafka - Best Practices,Advanced
Anu Patel 582,Scala for Healthcare,Beginner
Hana Walker 583,CI/CD (Practical),Expert
Hana Walker 583,Pandas for Healthcare,Expert
Hana Walker 583,Python Fundamentals,Beginner
Wei Allen 584,Machine Learning for Healthcare,Intermediate
Wei Allen 584,Microservices (Intro),Advanced
Wei Allen 584,C++ (Intro),Intermediate
Wei Allen 584,Statistics,Beginner
Wei Allen 584,Scala Fundamentals,Advanced
Luca Nguyen 585,Tableau,Beginner
Luca Nguyen 585,REST APIs - Best Practices,Intermediate
Luca Nguyen 585,Kafka (Intro),Beginner
Luca Nguyen 585,BigQuery for Finance,Beginner
Luca Nguyen 585,Kafka (Practical),Expert
Luca Nguyen 585,Deep Learning (Practical),Expert
Luca Nguyen 585,Probability Advanced,Expert
Isabella Nguyen 586,Snowflake Advanced,Intermediate
Isabella Nguyen 586,ETL for Finance,Beginner
Isabella Nguyen 586,AWS (Practical),Advanced
Sam Wright 587,React for Finance,Beginner
Sam Wright 587,Linux (Intro),Expert
Sam Wright 587,Computer Vision Fundamentals,Beginner
Sam Wright 587,Tableau for Finance,Advanced
Sam Wright 587,DBT (Intro),Advanced
Sam Wright 587,Docker,Intermediate
Sam Wright 587,Java - Best Practices,Expert
Mia Scott 588,Deep Learning for Finance,Advanced
Mia Scott 588,JavaScript (Practical),Intermediate
Mia Scott 588,Snowflake for Finance,Intermediate
Cameron Jackson 589,Cloud Computing Fundamentals,Advanced
Cameron Jackson 589,TensorFlow (Intro),Advanced
Cameron Jackson 589,Statistics (Intro),Intermediate
Cameron Jackson 589,MLOps (Practical),Advanced
Fatima Patel 590,AWS (Intro),Intermediate
Fatima Patel 590,Deep Learning,Expert
Fatima Patel 590,JavaScript - Best Practices,Expert
Fatima Patel 590,REST APIs Advanced,Advanced
Fatima Patel 590,Node.js (Practical),Advanced
Fatima Patel 590,Hadoop (Intro),Expert
Emma Taylor 591,MLOps (Intro),Expert
Emma Taylor 591,Airflow Fundamentals,Beginner
Emma Taylor 591,Apache Spark (Practical),Expert
Emma Taylor 591,Pandas,Beginner
Emma Taylor 591,Microservices,Expert
Emma Taylor 591,Tableau for Finance,Advanced
Sofia Martin 592,SQL - Best Practices,Expert
Sofia Martin 592,BigQuery,Expert
Sofia Martin 592,REST APIs - Best Practices,Expert
Isabella Smith 593,Statistics (Intro),Beginner
Isabella Smith 593,Java for Finance,Expert
Isabella Smith 593,MLOps (Intro),Intermediate
Roshni Garcia 594,Docker for Finance,Beginner
Roshni Garcia 594,Machine Learning Fundamentals,Expert
Roshni Garcia 594,Data Visualization Fundamentals,Advanced
Roshni Garcia 594,Docker (Practical),Beginner
Roshni Garcia 594,PowerBI Fundamentals,Intermediate
Roshni Garcia 594,Kubernetes Fundamentals,Expert
Roshni Garcia 594,C++ for Healthcare,Expert
Mia Anderson 595,Java (Intro),Expert
Mia Anderson 595,Hadoop (Practical),Advanced
Mia Anderson 595,Kubernetes (Intro),Expert
Mia Anderson 595,TensorFlow Fundamentals,Advanced
Mia Patel 596,Docker (Intro),Expert
Mia Patel 596,Apache Spark for Finance,Advanced
Mia Patel 596,Apache Spark - Best Practices,Advanced
Mia Patel 596,Machine Learning (Intro),Intermediate
Mason King 597,Linux,Beginner
Mason King 597,Cloud Computing (Practical),Expert
Mason King 597,TensorFlow (Practical),Advanced
Mason King 597,Statistics for Finance,Beginner
Mason King 597,Go for Finance,Advanced
Mason King 597,JavaScript,Advanced
Mason King 597,Deep Learning - Best Practices,Expert
Evan Singh 598,ETL - Best Practices,Beginner
Evan Singh 598,BigQuery Fundamentals,Advanced
Evan Singh 598,SQL Fundamentals,Expert
Evan Singh 598,ETL Fundamentals,Expert
Evan Singh 598,GANs,Expert
Evan Singh 598,Kubernetes for Healthcare,Intermediate
Evan Singh 598,SQL for Finance,Beginner
Roshni Scott 599,AWS Fundamentals,Intermediate
Roshni Scott 599,Time Series Advanced,Intermediate
Roshni Scott 599,Machine Learning,Intermediate
Roshni Scott 599,Deep Learning for Healthcare,Expert
Roshni Scott 599,TensorFlow Advanced,Expert
Dylan Anderson 600,C++,Advanced
Dylan Anderson 600,CI/CD (Intro),Expert
Dylan Anderson 600,Computer Vision Fundamentals,Intermediate
Dylan Anderson 600,Snowflake for Healthcare,Expert
Riley Martinez 601,Kafka for Finance,Expert
Riley Martinez 601,Machine Learning - Best Practices,Advanced
Riley Martinez 601,Java for Healthcare,Expert
Riley Martinez 601,REST APIs for Finance,Beginner
Riley Martinez 601,Apache Spark for Healthcare,Beginner
Riley Martinez 601,CI/CD for Finance,Expert
Liam Lewis 602,C++ for Healthcare,Beginner
Liam Lewis 602,Time Series,Expert
Liam Lewis 602,Java for Finance,Advanced
Liam Lewis 602,Probability Fundamentals,Beginner
Liam Lewis 602,Airflow - Best Practices,Beginner
Hana Moore 603,Scala Fundamentals,Expert
Hana Moore 603,REST APIs (Intro),Beginner
Hana Moore 603,NumPy (Practical),Intermediate
Hana Moore 603,Deep Learning,Beginner
Hana Moore 603,Machine Learning (Practical),Beginner
Hana Moore 603,AWS - Best Practices,Beginner
Amir Anderson 604,CI/CD - Best Practices,Expert
Amir Anderson 604,Airflow - Best Practices,Intermediate
Amir Anderson 604,Kafka Advanced,Expert
Amir Anderson 604,React for Healthcare,Intermediate
Amir Anderson 604,Snowflake - Best Practices,Intermediate
Amir Anderson 604,REST APIs (Intro),Intermediate
Li Lewis 605,Kubernetes Advanced,Beginner
Li Lewis 605,NLP Advanced,Expert
Li Lewis 605,Pandas for Finance,Intermediate
Li Lewis 605,Apache Spark (Intro),Advanced
Sam Young 606,Microservices (Practical),Intermediate
Sam Young 606,Probability Fundamentals,Beginner
Sam Young 606,Go,Beginner
Sam Young 606,BigQuery for Healthcare,Expert
Parker Nguyen 607,Machine Learning for Healthcare,Expert
Parker Nguyen 607,JavaScript,Beginner
